 INFO  Accepting connections at http://localhost:3001
 HTTP  5/2/2026 10:46:51 PM ::1 Returned 200 in 41 ms
 HTTP  5/4/2026 10:27:13 AM ::1 GET /portal
 HTTP  5/4/2026 10:27:13 AM ::1 Returned 200 in 85 ms
 HTTP  5/7/2026 7:41:36 PM ::1 GET /portal
 HTTP  5/7/2026 7:41:36 PM ::1 Returned 200 in 31 ms
 HTTP  5/7/2026 9:16:45 PM ::1 GET /portal
 HTTP  5/7/2026 9:16:45 PM ::1 Returned 200 in 94 ms
 HTTP  5/14/2026 11:44:12 AM ::1 GET /portal
 HTTP  5/14/2026 11:44:12 AM ::1 Returned 200 in 55 ms
 HTTP  5/14/2026 11:44:25 AM ::1 GET /portal
 HTTP  5/14/2026 11:44:25 AM ::1 Returned 200 in 10 ms
 HTTP  5/14/2026 11:44:46 AM ::1 GET /portal
 HTTP  5/14/2026 11:44:46 AM ::1 Returned 200 in 18 ms
 HTTP  5/14/2026 11:44:46 AM ::1 GET /site-content.js
 HTTP  5/14/2026 11:44:46 AM ::1 Returned 200 in 9 ms
 HTTP  5/14/2026 11:44:46 AM ::1 GET /manifest.json
 HTTP  5/14/2026 11:44:46 AM ::1 Returned 200 in 32 ms
 HTTP  5/14/2026 11:44:47 AM ::1 GET /sw.js
 HTTP  5/14/2026 11:44:47 AM ::1 Returned 200 in 4 ms
 HTTP  5/14/2026 11:44:47 AM ::1 GET /
 HTTP  5/14/2026 11:44:47 AM ::1 GET /index.html
 HTTP  5/14/2026 11:44:47 AM ::1 Returned 301 in 2 ms
 HTTP  5/14/2026 11:44:47 AM ::1 GET /portal
 HTTP  5/14/2026 11:44:47 AM ::1 GET /index
 HTTP  5/14/2026 11:44:47 AM ::1 Returned 301 in 2 ms
 HTTP  5/14/2026 11:44:47 AM ::1 GET /logo.jpeg
 HTTP  5/14/2026 11:44:47 AM ::1 GET /favicon.ico
 HTTP  5/14/2026 11:44:47 AM ::1 Returned 200 in 6 ms
 HTTP  5/14/2026 11:44:47 AM ::1 Returned 304 in 14 ms
 HTTP  5/14/2026 11:44:47 AM ::1 Returned 200 in 24 ms
 HTTP  5/14/2026 11:44:47 AM ::1 Returned 404 in 16 ms
 HTTP  5/14/2026 11:44:47 AM ::1 GET /portal.html
 HTTP  5/14/2026 11:44:47 AM ::1 Returned 301 in 1 ms
 HTTP  5/14/2026 11:44:47 AM ::1 GET /
 HTTP  5/14/2026 11:44:47 AM ::1 GET /demo
 HTTP  5/14/2026 11:44:47 AM ::1 GET /portal
 HTTP  5/14/2026 11:44:47 AM ::1 Returned 304 in 6 ms
 HTTP  5/14/2026 11:44:47 AM ::1 Returned 304 in 7 ms
 HTTP  5/14/2026 11:44:47 AM ::1 GET /demo/index.html
